SK_ID_CURR,TARGET,NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,NAME_TYPE_SUITE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,REGION_POPULATION_RELATIVE,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_REGISTRATION,DAYS_ID_PUBLISH,OWN_CAR_AGE,FLAG_MOBIL,FLAG_EMP_PHONE,FLAG_WORK_PHONE,FLAG_CONT_MOBILE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,REGION_RATING_CLIENT,REGION_RATING_CLIENT_W_CITY,WEEKDAY_APPR_PROCESS_START,HOUR_APPR_PROCESS_START,REG_REGION_NOT_LIVE_REGION,REG_REGION_NOT_WORK_REGION,LIVE_REGION_NOT_WORK_REGION,REG_CITY_NOT_LIVE_CITY,REG_CITY_NOT_WORK_CITY,LIVE_CITY_NOT_WORK_CITY,ORGANIZATION_TYPE,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,APARTMENTS_AVG,BASEMENTAREA_AVG,YEARS_BEGINEXPLUATATION_AVG,YEARS_BUILD_AVG,COMMONAREA_AVG,ELEVATORS_AVG,ENTRANCES_AVG,FLOORSMAX_AVG,FLOORSMIN_AVG,LANDAREA_AVG,LIVINGAPARTMENTS_AVG,LIVINGAREA_AVG,NONLIVINGAPARTMENTS_AVG,NONLIVINGAREA_AVG,APARTMENTS_MODE,BASEMENTAREA_MODE,YEARS_BEGINEXPLUATATION_MODE,YEARS_BUILD_MODE,COMMONAREA_MODE,ELEVATORS_MODE,ENTRANCES_MODE,FLOORSMAX_MODE,FLOORSMIN_MODE,LANDAREA_MODE,LIVINGAPARTMENTS_MODE,LIVINGAREA_MODE,NONLIVINGAPARTMENTS_MODE,NONLIVINGAREA_MODE,APARTMENTS_MEDI,BASEMENTAREA_MEDI,YEARS_BEGINEXPLUATATION_MEDI,YEARS_BUILD_MEDI,COMMONAREA_MEDI,ELEVATORS_MEDI,ENTRANCES_MEDI,FLOORSMAX_MEDI,FLOORSMIN_MEDI,LANDAREA_MEDI,LIVINGAPARTMENTS_MEDI,LIVINGAREA_MEDI,NONLIVINGAPARTMENTS_MEDI,NONLIVINGAREA_MEDI,FONDKAPREMONT_MODE,HOUSETYPE_MODE,TOTALAREA_MODE,WALLSMATERIAL_MODE,EMERGENCYSTATE_MODE,OBS_30_CNT_SOCIAL_CIRCLE,DEF_30_CNT_SOCIAL_CIRCLE,OBS_60_CNT_SOCIAL_CIRCLE,DEF_60_CNT_SOCIAL_CIRCLE,DAYS_LAST_PHONE_CHANGE,FLAG_DOCUMENT_2,FLAG_DOCUMENT_3,FLAG_DOCUMENT_4,FLAG_DOCUMENT_5,FLAG_DOCUMENT_6,FLAG_DOCUMENT_7,FLAG_DOCUMENT_8,FLAG_DOCUMENT_9,FLAG_DOCUMENT_10,FLAG_DOCUMENT_11,FLAG_DOCUMENT_12,FLAG_DOCUMENT_13,FLAG_DOCUMENT_14,FLAG_DOCUMENT_15,FLAG_DOCUMENT_16,FLAG_DOCUMENT_17,FLAG_DOCUMENT_18,FLAG_DOCUMENT_19,FLAG_DOCUMENT_20,FLAG_DOCUMENT_21,AMT_REQ_CREDIT_BUREAU_HOUR,AMT_REQ_CREDIT_BUREAU_DAY,AMT_REQ_CREDIT_BUREAU_WEEK,AMT_REQ_CREDIT_BUREAU_MON,AMT_REQ_CREDIT_BUREAU_QRT,AMT_REQ_CREDIT_BUREAU_YEAR
58369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144194,0.0,Cash loans,F,Y,Y,2.0,180000.0,448056.0,16222.5,315000.0,Unaccompanied,Working,Secondary / secondary special,Civil marriage,House / apartment,0.010643,40.45479452054794,10.452054794520548,-8068.0,-4096.0,13.0,1.0,1.0,0.0,1.0,0.0,0.0,Laborers,4.0,2.0,2.0,SATURDAY,14.0,0.0,0.0,0.0,0.0,0.0,0.0,Business Entity Type 2,,0.7347167624394068,0.2418614865234661,0.017,0.0449,0.9826,0.8096,0.0059,0.0,0.0431,0.1042,0.1667,0.0334,0.014,0.0283,0.0,0.0,0.0168,0.0,0.9722,0.8105,0.0052,0.0,0.0345,0.125,0.1667,0.03,0.0156,0.0116,0.0,0.0,0.0172,0.0596,0.9856,0.8121,0.0054,0.0,0.0345,0.125,0.1667,0.0353,0.0145,0.0343,0.0,0.0,reg oper account,block of flats,0.0294,"Stone, brick",No,0.0,0.0,0.0,0.0,-1452.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
128393,0.0,Revolving loans,M,Y,N,0.0,450000.0,450000.0,22500.0,450000.0,Unaccompanied,Commercial associate,Higher education,Single / not married,With parents,0.04622,28.50958904109589,4.890410958904109,-1803.0,-3084.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,,1.0,1.0,1.0,SATURDAY,12.0,0.0,1.0,1.0,0.0,0.0,0.0,Business Entity Type 3,0.2707940903251987,0.7380786488188559,0.6610235391308081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-748.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117026,1.0,Cash loans,F,N,Y,0.0,135000.0,274500.0,13482.0,274500.0,Unaccompanied,Working,Higher education,Separated,House / apartment,0.0145199999999999,32.95068493150685,7.235616438356164,-1743.0,-435.0,,1.0,1.0,0.0,1.0,0.0,0.0,Core staff,1.0,2.0,2.0,FRIDAY,9.0,0.0,0.0,0.0,0.0,0.0,0.0,Self-employed,0.067702404091039,0.0845043675093664,0.1595195404777181,0.1874,0.1772,0.9965,0.9524,0.0393,0.208,0.1517,0.5417,0.3542,0.0982,0.182,0.2114,0.0714,0.0903,0.0851,0.0792,0.997,0.9543,0.0,0.1208,0.2069,0.5417,0.25,0.0541,0.1433,0.1294,0.07,0.0798,0.1811,0.2188,0.997,0.953,0.0396,0.24,0.2069,0.5417,0.3542,0.0999,0.1851,0.1885,0.0718,0.0936,reg oper spec account,block of flats,0.1567,Others,No,2.0,2.0,2.0,2.0,-208.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
73158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
285929,0.0,Cash loans,M,N,Y,0.0,202500.0,942300.0,30528.0,675000.0,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,0.016612,54.12602739726027,0.5178082191780822,-8737.0,-3299.0,,1.0,1.0,0.0,1.0,0.0,0.0,Laborers,2.0,2.0,2.0,SATURDAY,10.0,0.0,0.0,0.0,0.0,1.0,1.0,Business Entity Type 3,,0.6487343851042215,0.4170996682522097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221208,0.0,Cash loans,F,N,Y,0.0,85500.0,675000.0,21775.5,675000.0,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,0.026392,51.33150684931507,-1000.6657534246575,-3550.0,-2278.0,,1.0,0.0,0.0,1.0,0.0,0.0,,2.0,2.0,2.0,SATURDAY,10.0,0.0,0.0,0.0,0.0,0.0,0.0,XNA,,0.3508704992270791,0.4650692149562261,0.0814,,0.9861,,,0.0,0.2069,0.1667,,,,0.0835,,,0.083,,0.9861,,,0.0,0.2069,0.1667,,,,0.087,,,0.0822,,0.9861,,,0.0,0.2069,0.1667,,,,0.085,,,,block of flats,0.0657,Panel,No,0.0,0.0,0.0,0.0,-721.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
